ID,English Line,Foreign Line,Line number - Do not touch!,T/F Condition
MeleeModFireDamage,Molten Impact,Impacto de Magma,4204,
MeleeModFireRate,Fury,Furia,4205,
MeleeModFocusEnergy,Focus Energy,Enfoque de Energía,4206,
MeleeModFreezeDamage,North Wind,Viento del Norte,4207,
MeleeModGlaivePowerThrow,Power Throw,Lanzamiento Potente,4208,
MeleeModGlaiveReflectionDecrease,Rebound,Rebote,4209,
MeleeModGlaiveReflectionIncrease,Quick Return,Devolución Rápida,4210,
MeleeModGlaiveSpeedMod,Whirlwind,Torbellino,4211,
MeleeModHeavyDamage,Killing Blow,Golpe Mortal,4212,
MeleeModPowerDmgBonus,Energy Channel,Canal de Energía,4213,
MeleeModRangeIncrease,Reach,Alcance,4214,
MeleeModRendingStrike,Rending Strike,Golpe Desgarrador,4215,
MeleeModStaminaBonus,Second Wind,Segundo Viento,4216,
MeleeModStunChance,Melee Prowess,Proeza Cuerpo a Cuerpo,4217,
ModDropChanceBoosterDesc,Doubles the chance of mod drops,Dobla la probabilidad de hallar mods,4226,
ModFuserDesc,Consume 4 mods to generate a new random artifact.,Consume 4 mods para generar un artefacto al azar.,4229,
ParisModExplosionChance,Thunderbolt,Trueno,4381,
PistolModAmmoMax,Trick Mag,Cargador Falso,4407,
PistolModArmorPiercing,No Return,Sin Retorno,4408,
PistolModClipMax,Slip Magazine,Desliz de Cargador,4409,
PistolModConvertAmmo,Pistol Ammo Mutation,Mutación de Munición de Pistola,4410,
PistolModConvertAmmoDesc,Convert unused ammo drops into Pistol Ammo.,Convierte la munición no utilizada en Munición de Pistola,4411,
PistolModCorruptedCritDamage,Hollow Point,Punta Hueca,4412,
PistolModCorruptedDamageRecoil,Magnum Force,Fuerza Mágnum,4413,
PistolModCorruptedMaxClipReloadSpeed,Tainted Clip,Cargador Corrupto,4414,
PistolModCritChance,Pistol Gambit,Gambito de Pistola,4415,
PistolModCritDamage,Target Cracker,Rompe-Objetivos,4416,
PistolModDamageAmount,Hornet Strike,Golpe de Avispa,4417,
PistolModElectricityDamage,Convulsion,Convulsión,4418,
PistolModFactionDamageCorpus,Expel Corpus,Expeler Corpus,4419,
PistolModFactionDamageGrineer,Expel Grineer,Expeler Grineer,4420,
PistolModFactionDamageInfested,Expel Infested,Expeler Infestados,4421,
PistolModFireDamage,Heated Charge,Carga Incendiaria,4422,
PistolModFireIterations,Barrel Diffusion,Difusión de Cañón,4423,
PistolModFireRate,Gunslinger,Pistolero,4424,
PistolModFreezeDamage,Deep Freeze,Congelador,4425,
PistolModGrinder,Lethal Torrent,Torrente Letal,4426,
PistolModIceStorm,Ice Storm,Tormenta de Hielo,4427,
PistolModNoiseReduction,Suppress,Anular,4428,
PistolModPunctureDepth,Seeker,Buscador,4429,
PistolModRecoilReduction,Steady Hands,Manos Firmes,4430,
PistolModReloadSpeed,Quickdraw,Agarre Rápido,4431,
PistolModStunChance,Sure Shot,Disparo Certero,4432,
PistolModStunningSpeed,Stunning Speed,Velocidad Impresionante,4433,
PistolModZoomFov,Hawk Eye,Ojo de Halcón,4434,
PoisonDamageMeleeMod,Fever Strike,Golpe de Fiebre,4499,
PoisonDamagePistolMod,Pathogen Rounds,Rondas Patógenas,4500,
PoisonDamageRifleMod,Infected Clip,Cargador Infectado,4501,
PoisonDamageShotgunMod,Contagious Spread,Propagación Contagiosa,4502,
PoisonEventMeleeMod,Virulent Scourge,Castigo Virulento,4503,
PoisonEventPistolMod,Pistol Pestilence,Pestilencia de Pistola,4504,
PoisonEventRifleMod,Malignant Force,Fuerza Maligna,4505,
PoisonEventShotgunMod,Toxic Barrage,Bombardeo Tóxico,4506,
RifleModAmmoMax,Ammo Drum,Munición de Tambor,4656,
RifleModArmorPiercing,Piercing Hit,Golpe Perforador,4657,
RifleModClipMax,Magazine Warp,Cargador Deformado,4658,
RifleModConvertAmmo,Rifle Ammo Mutation,Mutación de Munición de Rifle,4659,
RifleModConvertAmmoDesc,Convert unused ammo drops into Rifle Ammo.,Convierte la munición no utilizada en Munición de Rifle,4660,
RifleModCorruptedCritRateFireRate,Critical Delay,Retraso Crítico,4661,
RifleModCorruptedDamageRecoil,Heavy Caliber,Calibre Pesado,4662,
RifleModCorruptedMaxClipReloadSpeed,Tainted Mag,Cargador Corrupto,4663,
RifleModCorruptedRecoilFireRate,Vile Precision,Precisión Vil,4664,
RifleModCritChance,Point Strike,Punto de Impacto,4665,
RifleModCritDamage,Vital Sense,Sentido Vital,4666,
RifleModDamageAmount,Serration,Sierra,4667,
RifleModElectricityDamage,Stormbringer,Portador de Tormentas,4668,
RifleModFactionDamageCorpus,Bane of Corpus,Veneno para Corpus,4669,
RifleModFactionDamageGrineer,Bane of Grineer,Veneno para Grineer,4670,
RifleModFactionDamageInfested,Bane of Infested,Veneno para Infestados,4671,
RifleModFireDamage,Hellfire,Fuego Infernal,4672,
RifleModFireIterations,Split Chamber,Cámara Dividida,4673,
RifleModFireRate,Speed Trigger,Gatillo Veloz,4674,
RifleModFreezeDamage,Cryo Rounds,Rondas Criogénicas,4675,
RifleModHammerShot,Hammer Shot,Disparo Martillo,4676,
RifleModNoiseReduction,Hush,Silenciar,4677,
RifleModPunctureDepth,Metal Auger,Taladro Metálico,4678,
RifleModRecoilReduction,Stabilizer,Estabilizador,4679,
RifleModReloadSpeed,Fast Hands,Manos Rápidas,4680,
RifleModShred,Shred,Despedazar,4681,
RifleModStunChance,Rifle Aptitude,Aptitud de Rifle,4682,
RifleModWildfire,Wildfire,Fuego Salvaje,4683,
RifleModZoomFov,Eagle Eye,Ojo de Águila,4684,
SentinelModArmor,Steel Fiber,Fibra de Acero,4758,
SentinelModDropChance,Spare Parts,Piezas de Recambio,4759,
SentinelModExplosion,Self Destruct,Autodestrucción,4760,
SentinelModHealthMax,Vitality,Vitalidad,4761,
SentinelModOverheatDamage,Fired Up,Disparado,4762,
SentinelModRechargeRate,Fast Deflection,Desviación Rápida,4763,
SentinelModShieldMax,Redirection,Redirección,4764,
ShotgunModAcceleratedBlast,Accelerated Blast,Explosión Acelerada,4797,
ShotgunModAmmoMax,Shell Compression,Cartucho Comprimido,4798,
ShotgunModArmorPiercing,Flechette,Dardos,4799,
ShotgunModBlaze,Blaze,Resplandor,4800,
ShotgunModClipMax,Ammo Stock,Reserva de Munición,4801,
ShotgunModConvertAmmo,Shotgun Ammo Mutation,Mutación de Munición de Escopeta,4802,
ShotgunModConvertAmmoDesc,Convert unused ammo drops into Shotgun Ammo.,Convierte la munición no utilizada en Munición de Escopeta,4803,
ShotgunModCorruptedDamageSpread,Vicious Spread,Dispersión Cruel,4804,
ShotgunModCorruptedMaxClipReloadSpeed,Burdened Magazine,Cargador Lleno,4805,
ShotgunModCorruptedSpreadFireRate,Tainted Shell,Proyectil Infectado,4806,
ShotgunModCritChance,Blunderbuss,Trabuco,4807,
ShotgunModCritDamage,Ravage,Saquear,4808,
ShotgunModDamageAmount,Point Blank,Quemarropa,4809,
ShotgunModElectricityDamage,Charged Shell,Cartucho Cargado,4810,
ShotgunModFactionDamageCorpus,Cleanse Corpus,Limpieza de Corpus,4811,
ShotgunModFactionDamageGrineer,Cleanse Grineer,Limpieza de Grineer,4812,
ShotgunModFactionDamageInfested,Cleanse Infested,Limpieza de Infestados,4813,
ShotgunModFireDamage,Incendiary Coat,Capa Incendiaria,4814,
ShotgunModFireIterations,Hell's Chamber,Cámara Infernal,4815,
ShotgunModFireRate,Shotgun Spazz,Escopeta de Gatillo Fácil,4816,
ShotgunModFreezeDamage,Chilling Grasp,Alcance Helado,4817,
ShotgunModPunctureDepth,Seeking Force,Fuerza Buscadora,4818,
ShotgunModReloadSpeed,Tactical Pump,Recarga Táctica,4819,
ShotgunModStunChance,Shotgun Savvy,Maestro de la Escopeta,4820,
SlashDamageMeleeMod,Jagged Edge,Filo Dentado,4836,
SlashDamagePistolMod,Razor Shot,Disparo Rasurador,4837,
SlashDamageRifleMod,Sawtooth Clip,Cargador Aserrado,4838,
SlashDamageShotgunMod,Shredder,Triturador,4839,
SniperModConvertAmmo,Sniper Ammo Mutation,Mutación de Munición de Francotirador,4851,
SniperModConvertAmmoDesc,Convert unused ammo drops into Sniper Ammo.,Convierte la munición no utilizada en Munición de Francotirador,4852,
SniperModReloadDamage,Charged Chamber,Cámara Cargada,4853,
UniqueWeaponModExplosionRadius,Firestorm,Tormenta de Fuego,5020,
UniqueWeaponModExplosionRadiusDesc,Improves the blast radius of the Ignis and Ogris.,Mejora el radio de la explosión del Ignis y del Ogris.,5021,
WarframeModAbilityDuration,Continuity,Continuidad,5080,
WarframeModAbilityEfficiency,Streamline,Aerodinamizar,5081,
WarframeModAbilityRange,Stretch,Estirar,5082,
WarframeModAbilityStrength,Intensify,Intensificar,5083,
WarframeModArmor,Steel Fiber,Fibra de Acero,5084,
WarframeModAutoParry,Reflex Guard,Guardia de Reflejo,5085,
WarframeModBleedoutModifier,Undying Will,Voluntad Eterna,5086,
WarframeModCastingSpeed,Natural Talent,Talento Natural,5087,
WarframeModCastingSpeedDesc,Improves casting speed on Warframe abilities if applicable.,Mejora si es posible la velocidad de lanzamiento de las habilidades de un Warframe.,5088,
WarframeModChanceToLoot,Master Thief,Maestro Ladrón,5089,
WarframeModConstitution,Constitution,Constitución,5090,
WarframeModCorruptedEfficiencyRange,Fleeting Expertise,Experiencia Fugaz,5091,
WarframeModCorruptedPowerEfficiency,Blind Rage,Rabia Ciega,5092,
WarframeModCorruptedRangeDuration,Narrow Minded,Intolerante,5093,
WarframeModCorruptedRangePower,Overextended,Ampliado,5094,
WarframeModDmgReductionInAirDesc,Reduced damage while airborne by |val|%,Daño reducido mientras se está en el aire por |val|%,5095,
WarframeModDmgReductionInAirName,Aviator,Aviador,5096,
WarframeModDmgResistanceElect,Lightning Rod,Pararrayos,5097,
WarframeModDmgResistanceFire,Flame Repellent,Repelente de Llamas,5098,
WarframeModDmgResistanceIce,Insulation,Aislamiento,5099,
WarframeModDmgResistanceKnockdown,Shock Absorbers,Absorber Impacto,5100,
WarframeModDmgResistanceLaser,Diamond Skin,Piel de Diamante,5101,
WarframeModDmgResistancePoison,Antitoxin,Antitoxina,5102,
WarframeModDmgResistanceStun,Resilient Focus,Enfoque Resistente,5103,
WarframeModDmgResistanceWater,Waterproof,A Prueba de Agua,5104,
WarframeModDmgToEnergy,Rage,Ira,5105,
WarframeModEnemyRadar,Enemy Sense,Sensor Enemigo,5106,
WarframeModFallingImpact,Heavy Impact,Impacto Pesado,5107,
WarframeModFallingImpactDesc,Create seismic shockwaves from heavy landings to knock foes off their feet.,Crea ondas de choque sísmicas al realizar aterrizajes pesados para golpear a los enemigos.,5108,
WarframeModFortitude,Fortitude,Fortaleza,5109,
WarframeModGroundFireDamage,Provoked,Provocado,5110,
WarframeModHealthMax,Vitality,Vitalidad,5111,
WarframeModKnockdownRecovery,Handspring,Voltereta,5112,
WarframeModKnockdownRecoveryDesc,Quicker recovery after being knocked down,Recuperación más rápida al ser derribado,5113,
WarframeModKnockdownResistance,Sure Footed,Pies Seguros,5114,
WarframeModLootRadar,Thief's Wit,El Saber del Ladrón,5115,
WarframeModLootRadarDesc,Highlights mods through the environment as well as the minimap,Resalta mods en el entorno al igual que en el mini-mapa,5116,
WarframeModMissionResistIce,Warm Coat,Abrigo Cálido,5117,
WarframeModParryMelee,Parry,Bloquear,5118,
WarframeModParryReflect,Reflection,Reflejo,5119,
WarframeModPickupBonus,Equilibrium,Equilibrio,5120,
WarframeModPickupBonusDesc,Health pickups gain additional Energy. Energy pickups gain additional Health.,Recoger orbes de Salud otorga Energía adicional. Recoger orbes de Energía otorga Salud adicional.,5121,
WarframeModPowerMax,Flow,Flujo,5122,
WarframeModPowerToHealthOnDeath,Quick Thinking,Mente Rápida,5123,
WarframeModRevengeDamage,Retribution,Retribución,5124,
WarframeModShieldMax,Redirection,Redirección,5125,
WarframeModShieldRechargeRate,Fast Deflection,Desviación Rápida,5126,
WarframeModShieldToStamina,Shield Flux,Flujo de Escudo,5127,
WarframeModSlideBoost,Maglev,Levitación Magnética,5128,
WarframeModSprintSpeed,Rush,Carrera,5129,
WarframeModStaminaCost,Acrobat,Acróbata,5130,
WarframeModStaminaMax,Marathon,Maratón,5131,
WarframeModStaminaRechargeRate,Quick Rest,Descanso Rápido,5132,
WarframeModTimeLimitIncrease,Intruder,Intruso,5133,
WarframeModVigor,Vigor,Vigor,5134,
ArtifactCards_ModCollectionStats,Total:|TOTAL|  Duplicates:|DUPLICATES|  Cores:|CORES|  Rating:|VALUE|,Total:|TOTAL| Duplicados:|DUPLICATES| Núcleos:|CORES| Valor:|VALUE|,5542,
ConfirmFusingInstalledMod,"|MOD| is currently installed. If you fuse it, it will be lost.","|MOD| Está actualmente instalado. Si lo fusionas, se perderá.",5770,
ConfirmSellingInstalledMod,|MOD| is currently installed. Are you sure you want to sell it?,|MOD| Está actualmente instalado. ¿Estás seguro de que quieres venderlo?,5774,
ConfirmTransmutingInstalledMod,"|MOD| is currently installed. If you transmute it, it will be lost.","|MOD| Está actualmente instalado. Si lo transmutas, se perderá.",5775,
ItemInventory_ModEquippedPlural,|NUMBER| Mods attached,|NUMBER| Mods conectados,6308,
ItemInventory_ModEquippedSingular,|NUMBER| Mod attached,|NUMBER| Mod conectado,6309,
Loadout_ApplyModToAuraSlot,This slot is reserved for Aura Mods.,Este espacio está reservado para Mods Aura.,6369,
Loadout_ApplyModToStanceSlot,This slot is reserved for Melee Stance Mods.,Esta ranura está reservada para Mods de Guardias cuerpo a cuerpo.,6370,
Loadout_ModAlreadyInstalled,Cannot install |MOD| because it is already installed on |WEAPON|.,No se puede instalar |MOD| porque ya está instalado en |WEAPON|.,6406,
ModCostTip,Capacity required to install this Mod in an item. Mod capacity rises with each item rank.,Capacidad requerida para instalar este Mod en un objeto. La capacidad de Mod se incrementa cada vez que subes de nivel este objeto.,6630,
ModDescTip,Describes this Mod's effect. Fusion increases power.,Describe el efecto de este Mod. La Fusión incrementa su poder.,6631,
ModInstalled,This mod is installed on:,Este mod está instalado en:,6632,
ModNameTip,Each Mod type has a unique name. Duplicates are most effect for Fusion.,Cada tipo de Mod tiene un nombre único. Los duplicados tienen más efecto en la Fusión.,6633,
ModPolarityTip,Mod Polarity. Matching item's slot lowers capacity required. Matching polarity improves Fusion.,Polaridad del Mod. Igualar las ranuras reduce la capacidad requerida. Igualar la polaridad mejora la Fusión.,6634,
ModRankTip,Current Fusion Rank of this Mod. Fuse other Mods into this one to increase it.,Rango de Fusión actual de este Mod. Fusiona otros Mods con este para incrementarlo.,6635,
ModSellingTip,TIP: Hold <CONTROL> while clicking on cards to select multiple cards to sell at once.,CONSEJO: Mantén <CONTROL> mientras haces clic sobre las cartas para seleccionar múltiples cartas y venderlas a la vez.,6636,
ModSellingTip_PS4,TIP: Hold <MENU_LTRIGGER1> when pressing <MENU_SELECT> to select multiple cards to sell at once.,CONSEJO: Mantén <MENU_LTRIGGER1> cuando pulses <MENU_SELECT> para seleccionar múltiples cartas y venderlas a la vez.,6637,
ModStatsTip,Mod Rarity. Fusion Rank will be shown after fusion.,Rareza del Mod. El Rango de Fusión se mostrará después de la fusión.,6638,
ModTypeTip,Type of item this Mod fits into.,Tipo de objeto donde encaja este Mod.,6639,
