Data Set,ID,Line,Spanish Line,
/Game/,GAMEPLAY_EXECUTION_HEALTH_THRESHOLD,EXECUTION HEALTH THRESHOLD,UMBRAL DE SALUD PARA EJECUCIÓN,
/Game/,GAMEPLAY_FACTION_DAMAGE,DAMAGE TO FACTION,DAÑO A LA FACCIÓN,
/Game/,GAMEPLAY_FINISHER_XP_AMOUNT,EXECUTION XP AMOUNT,CANTIDAD DE EXP POR EJECUCIÓN,
/Game/,GAMEPLAY_HEART_TIME,HEART TIME,TIEMPO CARDÍACO,
/Game/,GAMEPLAY_ITEM_EFFECTIVENESS,Eris,EFECTIVIDAD DE OBJETOS,
/Game/,GAMEPLAY_KILL_POWER_AMOUNT,Europa,CANTIDAD DE PODER POR MUERTE,
/Game/,GAMEPLAY_KILL_POWER_COOLDOWN,KILL POWER COOLDOWN,RECARGA DE PODER POR MUERTE,
/Game/,GAMEPLAY_KILL_XP_AMOUNT,XP FROM KILLS,EXP POR MUERTES,
/Game/,GAMEPLAY_KILL_XP_AMOUNT_LotusMeleeWeapon,XP FROM MELEE KILLS,EXP POR MUERTES CUERPO A CUERPO,
/Game/,GAMEPLAY_KILL_XP_AMOUNT_LotusPistol,XP FROM PISTOL KILLS,EXP POR MUERTES CON PISTOLA,
/Game/,GAMEPLAY_KILL_XP_AMOUNT_LotusRifle,XP FROM RIFLE KILLS,EXP POR MUERTES CON RIFLE,
/Game/,GAMEPLAY_KILL_XP_AMOUNT_LotusShotgun,XP FROM SHOTGUN KILLS,EXP POR MUERTES CON ESCOPETA,
/Game/,GAMEPLAY_MAX_HEALTH_SEGMENT_REWARD,MAX HEALTH SEGMENT REWARD,RECOMPENSA DE SEGMENTO MÁXIMO DE SALUD,
/Game/,GAMEPLAY_MELEE_KILL_POWER_AMOUNT,MELEE KILL POWER AMOUNT,CANTIDAD DE PODER POR MUERTE CUERPO A CUERPO,
/Game/,GAMEPLAY_MELEE_KILL_XP_AMOUNT,MELEE KILL XP AMOUNT,CANTIDAD DE EXP POR MUERTE CUERPO A CUERPO,
/Game/,GAMEPLAY_PICKUP_RATE,Phobos,TASA DE RECOLECCIÓN,
/Game/,GAMEPLAY_PICKUP_RATE_ResourceItem,RESOURCE DROP RATE,TASA DE HALLAZGO DE RECURSOS,
/Game/,GAMEPLAY_POWER_COOLDOWN,Dojo,RECARGA DEL PODER,
/Game/,GAMEPLAY_POWER_DURATION,POWER DURATION,DURACIÓN DEL PODER,
/Game/,GAMEPLAY_POWER_TO_HEALTH_ON_DAMAGE,POWER TO HEALTH ON DAMAGE,PODER A SALUD AL HACER DAÑO,
/Game/,GAMEPLAY_POWER_TO_HEALTH_ON_DEATH,POWER TO HEALTH ON DEATH,PODER A SALUD AL MATAR,
/Game/,GAMEPLAY_SHIELD_UPGRADE_LEVEL,Sedna,NIVEL DE MEJORA DE ESCUDO,
/Game/,GAMEPLAY_TURN_OBJECT_TO_GRENADE,TURN OBJECT TO GRENADE,CONVERTIR OBJETO EN GRANADA,
/Game/,LEGENDARY,Legendary,Legendario,
/Game/,LEGENDARYUpper,LEGENDARY,LEGENDARIO,
/Game/,LevelUp,LEVEL UP!,¡SUBE DE NIVEL!,
/Game/,Module,MOD,MODed,
/Game/,RARE,Venus,Raro,
/Game/,RAREUpper,RARE,RARO,
/Game/,RequiredRank,Rank,Rango,
/Game/,Requires,Requires,Requiere,
/Game/,UNCOMMON,Uncommon,Poco común,
/Game/,UNCOMMONUpper,UNCOMMON,POCO COMÚN,
/Game/,WEAPON_AIMED_SHOT_DAMAGE_BONUS,DEAD AIM,PUNTERÍA MORTAL,
/Game/,WEAPON_AMMO_CONSUME_RATE,AMMO EFFICIENCY,EFICIENCIA DE MUNICIÓN,
/Game/,WEAPON_AMMO_MAX,AMMO MAXIMUM,MUNICIÓN MÁXIMA,
/Game/,WEAPON_AMMO_RETRIEVED,AMMO PICKUP,RECOGIDA DE MUNICIÓN,
/Game/,WEAPON_ARMOR_PIERCING_DAMAGE,ARMOR PIERCING DAMAGE,DAÑO DE PERFORACIÓN DE ARMADURA,
/Game/,WEAPON_ARMOUR_NEGATION,ARMOR PIERCING,PERFORACIÓN DE ARMADURA,
/Game/,WEAPON_BEHAVIOR_INDEX,BEHAVIOR INDEX,ÍNDICE DE FUNCIONAMIENTO,
/Game/,WEAPON_CHANNELING_DAMAGE,CHANNELING DMG,DAÑO DE CANALIZACIÓN,
/Game/,WEAPON_CHANNELING_EFFICIENCY,CHANNELING EFFICIENCY,EFICIENCIA DE CANALIZACIÓN,
/Game/,WEAPON_CHARGE_RATE,CHARGE RATE,TASA DE CARGA,
/Game/,WEAPON_CLIP,MAGAZINE,CARGADOR,
/Game/,WEAPON_CLIP_MAX,MAGAZINE CAPACITY,CAPACIDAD DEL CARGADOR,
/Game/,WEAPON_CRIT,CRITICAL,CRÍTICO,
/Game/,WEAPON_CRIT_CHANCE,CRIT CHANCE,POSIBILIDAD DE DAÑO CRÍTICO,
/Game/,WEAPON_CRIT_DAMAGE,CRIT DAMAGE,DAÑO CRÍTICO,
/Game/,WEAPON_CRIT_FIRE_RATE_BONUS,FIRE RATE,CADENCIA DE FUEGO,
/Game/,WEAPON_CRIT_FIRE_RATE_DURATION,DURATION,DURACIÓN,
/Game/,WEAPON_DAMAGE_AMOUNT,DAMAGE,DAÑO,
/Game/,WEAPON_ELECTRICITY_DAMAGE,ELECTRICAL DAMAGE,DAÑO ELÉCTRICO,
/Game/,WEAPON_EXPLOSION_RADIUS,EXPLOSION RADIUS,RADIO DE EXPLOSIÓN,
/Game/,WEAPON_FIRE_DAMAGE,FIRE DAMAGE,DAÑO DE FUEGO,
/Game/,WEAPON_FIRE_ITERATIONS,MULTISHOT,MULTIDISPARO,
/Game/,WEAPON_FIRE_RATE,FIRE RATE,CADENCIA DE FUEGO,
/Game/,WEAPON_FREEZE_DAMAGE,FREEZE DAMAGE,DAÑO DE CONGELACIÓN,
/Game/,WEAPON_GORE_CHANCE,GORE,SANGRE,
/Game/,WEAPON_HOLSTER_RATE,HOLSTER RATE,VELOCIDAD AL ENFUNDAR,
/Game/,WEAPON_INIT_DAMAGE_MOD,Bonus Damage on first shot in clip,Bonificación de daño por primer disparo del cargador,
/Game/,WEAPON_KNOCKDOWN_TIME,KNOCKDOWN,DERRIBAR,
/Game/,WEAPON_LIFE_STEAL,LIFE STEAL,ROBO DE VIDA,
/Game/,WEAPON_MELEE_DAMAGE,MELEE DAMAGE,DAÑO CUERPO A CUERPO,
/Game/,WEAPON_MELEE_FINISHER_DAMAGE,FINISHER DAMAGE,DAÑO DEFINITIVO,
/Game/,WEAPON_MELEE_FIRE_RATE,ATTACK SPEED,VELOCIDAD DE ATAQUE,
/Game/,WEAPON_NOISE_REDUCTION,NOISE REDUCTION,REDUCCIÓN DE RUIDO,
/Game/,WEAPON_OVERHEAT_DAMAGE,MAX OVERHEAT DAMAGE,DAÑO MÁXIMO DE SOBRECALENTAMIENTO,
/Game/,WEAPON_PARRY_ANGLE,PARRY ANGLE,ÁNGULO DE BLOQUEO,
/Game/,WEAPON_PARRY_COUNTER_CHANCE,COUNTER CHANCE,PROBABILIDAD DE CONTRARRESTAR,
/Game/,WEAPON_PARRY_DAMAGE_REDUCTION,PARRY DMG REDUCTION,REDUCCIÓN DE DAÑO POR BLOQUEO,
/Game/,WEAPON_PARRY_DAMAGE_TO_STAMINA,PARRY DAMAGE TO STAMINA,DAÑO DE BLOQUEO A AGUANTE,
/Game/,WEAPON_POISON_DAMAGE,POISON DAMAGE,DAÑO DE VENENO,
/Game/,WEAPON_PROC,STATUS,ESTADO,
/Game/,WEAPON_PROC_CHANCE,STATUS CHANCE,PROBABILIDAD DE ESTADO,
/Game/,WEAPON_PROC_PER_SEC,STATUS / SEC,ESTADO / SEG,
/Game/,WEAPON_PROJECTILE_EXPLOSION_CHANCE,PROJECTILE EXPLOSION CHANCE,PROBABILIDAD DE EXPLOSIÓN DEL PROYECTIL,
/Game/,WEAPON_PROJECTILE_SPEED,FLIGHT SPEED,VELOCIDAD DE VUELO,
/Game/,WEAPON_PUNCTURE_DEPTH,PUNCH THROUGH,ATRAVESAR,
/Game/,WEAPON_RANGE,RANGE,ALCANCE,
/Game/,WEAPON_RECOIL,WEAPON RECOIL,RETROCESO,
/Game/,WEAPON_REFLECTION_MODIFIER,Bounce,REBOTE,
/Game/,WEAPON_RELOAD,RELOAD,RECARGA,
/Game/,WEAPON_RELOAD_SPEED,RELOAD SPEED,VELOCIDAD DE RECARGA,
/Game/,WEAPON_RELOAD_TIME,RELOAD SPEED,VELOCIDAD DE RECARGA,
/Game/,WEAPON_SPREAD,ACCURACY,PRECISIÓN,
/Game/,WEAPON_TARGET_AMOUNT,TARGETING,OBJETIVOS,
/Game/,WEAPON_TRIGGER,TRIGGER,GATILLO,
/Game/,WEAPON_UPGRADE_SLOT,UPGRADE SLOT,RANURA DE MEJORA,
/Game/,WEAPON_ZOOM,ZOOM,ZOOMed,
/Menu/,Continue,Continue,Continuar,
/Menu/,SkipCinematicConfirm,SKIP CINEMATIC?,¿SALTAR LA SECUENCIA DE VÍDEO?,
/Multiplayer/,Alive,Alive,Vivo,
/Multiplayer/,BeginMatchConfirmation,Are you sure you want to begin the match?,¿Seguro que quieres empezar la partida?,
/Multiplayer/,ChangeCamera,Press <value> to change cameras while in spectator mode,Pulsa <value> para cambiar la cámara en modo espectador,
/Multiplayer/,Dead,Dead,Muerto,
/Multiplayer/,FailedToJoin,Failed to join the game.,Error al unirse a la partida.,
/Multiplayer/,GoldMembership,Your Gamer Profile does not have the correct permissions to access Xbox LIVE functionality.,Tu perfil de jugador no tiene los permisos adecuados para acceder a las funciones de Xbox LIVE.,
/Multiplayer/,HostElection_BestHost,Selecting the best host. Please wait...,"Seleccionando el mejor anfitrión. Por favor, espera...",
/Multiplayer/,HostMigration_JoiningSession,Host migration in progress. Please wait...,"Migración de anfitrión en progreso. Por favor, espera...",
/Multiplayer/,JoiningSession,Joining session...,Uniéndose a la sesión...,
/Multiplayer/,MatchingServerDisconnected_PS3,The connection to PlayStation<REGISTERED_TM_SMALL>Network has been lost.  You are being returned to the title screen.,Se ha perdido la conexión con PlayStation<REGISTERED_TM_SMALL>Network.  Volverás a la pantalla de inicio.,
/Multiplayer/,MatchingServerDisconnected_PS4,The connection to PlayStation<REGISTERED_TM_SMALL>Network has been lost.  You are being returned to the title screen.,Se ha perdido la conexión con PlayStation<REGISTERED_TM_SMALL>Network.  Volverás a la pantalla de inicio.,
/Multiplayer/,MatchingServerDisconnected_Windows,The connection to the server has been lost. You are being returned to the title screen.,Se ha perdido la conexión con el servidor. Volverás a la pantalla de inicio.,
/Multiplayer/,MatchingServerDisconnected_Xbox360,The connection to Xbox LIVE has been lost. You are being returned to the title screen.,Se ha perdido la conexión con Xbox LIVE. Volverás a la pantalla de inicio.,
/Multiplayer/,MatchingServiceUnavailable,The match making service is unavailable. Please try again later.,El servicio de creación de partidas no está disponible. Vuelve a intentarlo más tarde.,
/Multiplayer/,MismatchedVersionFailure,Connection failed because of a version mismatch. The server's version was |BuildLabel|.,La conexión ha fallado por incompatibilidad de versiones. La versión del servidor es |BuildLabel|.,
/Multiplayer/,NeedOnlineMPEnabledProfile,The current profile does not allow online gameplay.,El perfil actual no permite el juego en línea.,
/Multiplayer/,NetworkDisconnected,The network connection has been lost. You will now be returned to the main menu.,La conexión a la red se ha perdido. Ahora regresarás al menú principal.,
/Multiplayer/,NextMatchTime,Next match in |Seconds|...,Próxima partida en |Seconds|...,
/Multiplayer/,NextRoundTime,Next round in |Seconds|...,Próxima ronda en |Seconds|...,
/Multiplayer/,NoActiveNetworkLink_PS3,There is no active network link. An active network link is required to access this feature.,No hay ningún vínculo de red activo. Se requiere un vínculo de red activo para acceder a esta función.,
/Multiplayer/,NoActiveNetworkLink_Windows,There is no active network link. An active network link is required to access this feature.,No hay ningún vínculo de red activo. Se requiere un vínculo de red activo para acceder a esta función.,
/Multiplayer/,NoActiveNetworkLink_Xbox360,You need to be signed into an Xbox LIVE enabled gamer profile and connected to Xbox LIVE to access this feature.,Debes iniciar sesión con un perfil de jugador habilitado para Xbox LIVE y conectarte a Xbox LIVE para acceder a esta función.,
/Multiplayer/,NoMapsError,You must select a map to play,Debes seleccionar un mapa para jugar,
/Multiplayer/,NPSignOutWarning,You have been signed out of PlayStation<REGISTERED_TM_SMALL>Network. You will be returned to the title screen.,Se ha cerrado tu sesión de PlayStation<REGISTERED_TM_SMALL>Network. Volverás a la pantalla de inicio.,
/Multiplayer/,PartyHostDisconnected,The connection to the host has been lost. You will now be returned to the main menu.,Se ha perdido la conexión con el anfitrión. Volviendo al menú principal.,
/Multiplayer/,PlayerChatText,|Player|: |ChatText|,|Player|: |ChatText|,
/Multiplayer/,PlayerReviewHost,Submit player review for [hostname],Enviar informe de jugador para [hostname],
/Multiplayer/,PlayerWon,|Player| won!,¡|Player| ha ganado!,
/Multiplayer/,ProtocolFailure,Connection failed because of network protocol errors.,La conexión ha fallado por errores en el protocolo de red.,
/Multiplayer/,ReplicationDataMismatch,Client/host data mismatch. Please verify your cache using the Launcher.,"Incompatibilidad de datos con el cliente/anfitrión. Por favor, verifica la caché usando el Lanzador.",
/Multiplayer/,RestartCheckpoint,Restarting checkpoint or loading a previous chapter will erase current progress.,"Si reinicias un punto de control o cargas un capítulo anterior, perderás tus progresos actuales.",
/Multiplayer/,Restricted_Parental_Control_PS3,Online service is disabled on your PlayStation<REGISTERED_TM_SMALL>Network account due to parental control restrictions.,El servicio online se ha deshabilitado en tu cuenta de PlayStation<REGISTERED_TM_SMALL>Network por restricciones de control parental.,
/Multiplayer/,Restricted_Parental_Control_Windows,Online service is disabled due to parental control restrictions.,El servicio en línea se ha deshabilitado por restricciones de control parental.,
/Multiplayer/,Restricted_Parental_Control_Xbox360,Online service is disabled on your Xbox LIVE account due to parental control restrictions.,El servicio en línea se ha deshabilitado en tu cuenta Xbox LIVE por restricciones de control parental.,
/Multiplayer/,RoundEnd,ROUND END!,¡FIN DE LA RONDA!,
/Multiplayer/,RoundStart,ROUND START!,¡EMPIEZA LA RONDA!,
/Multiplayer/,ScoreKillOther,|Player| killed |VictimPlayer|.,|Player| ha matado a |VictimPlayer|.,
/Multiplayer/,Searching,Searching...,Buscando... ,
/Multiplayer/,SelectMap,Select map,Seleccionar mapa,
/Multiplayer/,ServerDisconnected,The connection to the host has been lost. You will be returned to the multiplayer menu.,Se ha perdido la conexión con el anfitrión. Volverás al menú de multijugador.,
/Multiplayer/,ServerFull,"[Unable to join game, the session is full]",[No has podido unirte a la partida porque está completa],
/Multiplayer/,ServerUnavailable,Session unavailable.,Partida no disponible.,
/Multiplayer/,SessionAlreadyJoined,You are already a member of this game session.,Ya formas parte de esta sesión de juego.,
/Multiplayer/,SessionDisconnected,The connection to the session has been lost. You will be returned to the multiplayer menu.,Se ha perdido la conexión con la sesión. Volverás al menú de multijugador.,
/Multiplayer/,ShowFriends,Friends List,Lista de amigos,
/Multiplayer/,ShowLeaderboard,Leaderboard,Marcador,
/Multiplayer/,ShowPlayersUI,Players,Jugadores,
/Multiplayer/,Spectating,Spectating,Viendo a,
/Multiplayer/,SteamLoggedInElsewhere,Your account is currently logged in elsewhere.,Ya se ha iniciado sesión en tu cuenta desde otro lugar.,
/Multiplayer/,SubmitPlayerReview,Submit player review,Enviar informe de jugador,
/Multiplayer/,Suicided,|Player| committed suicide.,|Player| se ha suicidado.,
/Multiplayer/,UnclaimedKill,|Player| died.,|Player| ha muerto.,
/Multiplayer/,UnexpectedError_PS3,Unable to connect to PlayStation<REGISTERED_TM_SMALL>Network. Please try again.,Imposible conectar con PlayStation<REGISTERED_TM_SMALL>Network. Vuelve a intentarlo más tarde.,
/Multiplayer/,UnexpectedError_Windows,Unable to connect. Please try again.,Imposible conectar. Vuelve a intentarlo más tarde.,
/Multiplayer/,UnexpectedError_Xbox360,Unable to connect to Xbox LIVE. Please try again.,Imposible conectar con Xbox LIVE. Vuelve a intentarlo más tarde.,
/Multiplayer/,ValidOnlineProfileRequired_PS3,You need to be signed into an online enabled profile and connected to PlayStation<REGISTERED_TM_SMALL>Network to access this feature.,Debes iniciar sesión con un perfil habilitado para el juego online y conectarte a PlayStation<REGISTERED_TM_SMALL>Network para acceder a esta función.,
/Multiplayer/,ValidOnlineProfileRequired_Windows,The Steam service is unavailable. Please check your network connection and try again.,"El servicio de Steam no está disponible. Por favor, comprueba tu conexión de red e inténtalo de nuevo.",
/Multiplayer/,ValidOnlineProfileRequired_Xbox360,You need to be signed into an Xbox LIVE enabled gamer profile and connected to Xbox LIVE to access this feature.,Debes iniciar sesión con un perfil de jugador habilitado para Xbox LIVE y conectarte a Xbox LIVE para acceder a esta función.,
/Multiplayer/,ValidProfileRequired,You need to be signed in for multiplayer gameplay.,Debes iniciar sesión para acceder al modo multijugador.,
/Multiplayer/,Waiting,Waiting for players...,Esperando jugadores...,
/Multiplayer/,YouHaveBeenKicked,Melee,Has sido expulsado de la partida. Volverás al menú principal.,
/Lotus/Language/Actions/,AbilityXP,POWER,PODER,
/Lotus/Language/Actions/,AbsorbIncrease,ABSORB,ABSORBER,
/Lotus/Language/Actions/,ActivateLaser,<USE> ACTIVATE LASER,<USE> ACTIVAR LÁSER,
/Lotus/Language/Actions/,AffinityIncrease,AFFINITY,AFINIDAD,
/Lotus/Language/Actions/,AmmoFull,|AmmoLocDesc| FULL,|AmmoLocDesc| LLENO,
/Lotus/Language/Actions/,AmmoIncrease,AMMO,MUNICIÓN,
/Lotus/Language/Actions/,AmmoUnavailable,|AmmoLocDesc| FULL,|AmmoLocDesc| LLENO,
/Lotus/Language/Actions/,BowAmmo,BOW AMMO,MUNICIÓN DE ARCO,
/Lotus/Language/Actions/,BowAmmoMutated,<AMMO_MUTATION> BOW AMMO,<AMMO_MUTATION> MUNICIÓN DE ARCO,
/Lotus/Language/Actions/,Capture,<USE> CAPTURE TARGET,<USE> CAPTURAR OBJETIVO,
/Lotus/Language/Actions/,Captured,CAPTURE,CAPTURA,
/Lotus/Language/Actions/,CollectArtifact,<USE> COLLECT ARTIFACT,<USE> RECOGER ARTEFACTO,
/Lotus/Language/Actions/,CreditsIncrease,CREDITS,CRÉDITOS,
/Lotus/Language/Actions/,DominatingXP,DOMINATING,DOMINANDO,
/Lotus/Language/Actions/,EnergyIncrease,ENERGY,ENERGÍA,
/Lotus/Language/Actions/,ErrorEnergyCapacityPickup,ENERGY CAPACITY FULL,CAPACIDAD DE ENERGÍA COMPLETA,
/Lotus/Language/Actions/,ErrorEnergyPickup,ENERGY FULL,ENERGÍA COMPLETA,
/Lotus/Language/Actions/,ErrorHealthPickup,HEALTH FULL,SALUD COMPLETA,
/Lotus/Language/Actions/,ErrorStaminaPickup,STAMINA FULL,AGUANTE COMPLETO,
/Lotus/Language/Actions/,Hack,<USE> HACK,<USE> HACKEAR,
/Lotus/Language/Actions/,HackSecurity,<USE> HACK SECURITY,<USE> HACKEAR SEGURIDAD,
/Lotus/Language/Actions/,HackSystem,<USE> HACK SYSTEM,<USE> HACKEAR SISTEMA,
/Lotus/Language/Actions/,HackXP,BYPASS,BAIPÁS,
/Lotus/Language/Actions/,HealthIncrease,HEALTH,SALUD,
/Lotus/Language/Actions/,InactiveRespawnPoint,INACTIVE INFILTRATION POINT,PUNTO DE INFILTRACIÓN INACTIVO,
/Lotus/Language/Actions/,Kneel,Kneel,Arrodillarse,
/Lotus/Language/Actions/,PickupDataMass,<USE> PICKUP DATAMASS,<USE> TOMAR CARGA DE DATOS,
/Lotus/Language/Actions/,PickupPowerNode,<USE> TAKE POWER NODE,<USE> TOMAR NODO DE ENERGÍA,
/Lotus/Language/Actions/,PickupUpgrade,<USE> TAKE UPGRADE,<USE> TOMAR MEJORA,
/Lotus/Language/Actions/,PistolAmmo,PISTOL AMMO,MUNICIÓN DE PISTOLA,
/Lotus/Language/Actions/,PistolAmmoMutated,<AMMO_MUTATION> PISTOL AMMO,<AMMO_MUTATION> MUNICIÓN DE PISTOLA,
/Lotus/Language/Actions/,PlasmaGrenadePickup,Plasma Grenade,Granada de Plasma,
/Lotus/Language/Actions/,RaiseArtifact,<USE> RAISE ARTIFACT,<USE> ELEVAR ARTEFACTO,
/Lotus/Language/Actions/,RaiseReactor,<USE> RAISE REACTOR,<USE> ELEVAR REACTOR,
/Lotus/Language/Actions/,RerouteNavigation,<USE> REROUTE NAVIGATION,<USE> REDIRECCIONAR NAVEGACIÓN,
/Lotus/Language/Actions/,RevivePlayer,HOLD <USE> TO REVIVE,MANTÉN <USE> PARA REVIVIR,
/Lotus/Language/Actions/,ReviveXP,RESCUE,RESCATE,
/Lotus/Language/Actions/,RevivingPlayer,REVIVING %s,REVIVIENDO %s,
/Lotus/Language/Actions/,RifleAmmo,RIFLE AMMO,MUNICIÓN DE RIFLE,
/Lotus/Language/Actions/,RifleAmmoMutated,<AMMO_MUTATION> RIFLE AMMO,<AMMO_MUTATION> MUNICIÓN DE RIFLE,
/Lotus/Language/Actions/,Scan,SCAN,ESCANEAR,
/Lotus/Language/Actions/,ScatterGrenadePickup,Scatter Grenade,Granada de Fragmentación,
/Lotus/Language/Actions/,ShellAmmo,SHOTGUN AMMO,MUNICIÓN DE ESCOPETA,
